run,slice,cand,variant,v1_ok,v11_ok,v11abl_ok,tot,regressed
e2-opus5-lrml,comparability,0085ecdd,original,1,1,4,6,0
e2-opus5-lrml,comparability,0219127c,original,6,6,6,6,0
e2-opus5-lrml,comparability,02f5e3fb,original,1,1,4,4,0
e2-opus5-lrml,comparability,08efb7a8,original,0,0,0,4,0
e2-opus5-lrml,comparability,09b2a395,original,4,4,4,7,0
e2-opus5-lrml,comparability,0aaf71f0,original,5,5,5,5,0
e2-opus5-lrml,comparability,0edb92b7,original,1,1,4,5,0
e2-opus5-lrml,comparability,12e545d1,original,1,1,1,5,0
e2-opus5-lrml,comparability,14d1a086,original,1,4,4,4,0
e2-opus5-lrml,comparability,1ebce0c9,original,1,1,1,5,0
e2-opus5-lrml,comparability,20518e80,original,4,4,4,4,0
e2-opus5-lrml,comparability,23db27ac,original,5,5,5,5,0
e2-opus5-lrml,comparability,2af8ee5f,original,4,4,0,6,0
e2-opus5-lrml,comparability,2b60007d,original,5,5,5,7,0
e2-opus5-lrml,comparability,2cc3d5b0,original,5,5,0,6,0
e2-opus5-lrml,comparability,31d635b2,original,2,2,4,5,0
e2-opus5-lrml,comparability,328fb8e7,original,1,1,1,5,0
e2-opus5-lrml,comparability,526d7a82,original,1,1,4,5,0
e2-opus5-lrml,comparability,5fe7997a,original,4,4,4,4,0
e2-opus5-lrml,comparability,6187cad8,original,1,1,4,4,0
e2-opus5-lrml,comparability,6414854d,original,1,1,1,5,0
e2-opus5-lrml,comparability,675c4d48,original,4,4,4,4,0
e2-opus5-lrml,comparability,681c4394,original,5,5,5,5,0
e2-opus5-lrml,comparability,78d904cd,original,1,1,1,5,0
e2-opus5-lrml,comparability,7db23e3b,original,1,1,1,5,0
e2-opus5-lrml,comparability,7f49ccb1,original,1,1,1,5,0
e2-opus5-lrml,comparability,80221d2c,original,3,3,3,6,0
e2-opus5-lrml,comparability,82aa0792,original,3,3,3,4,0
e2-opus5-lrml,comparability,8421f806,original,1,1,1,6,0
e2-opus5-lrml,comparability,87c9c5f5,original,2,4,4,4,0
e2-opus5-lrml,comparability,8aa4b706,original,1,1,1,4,0
e2-opus5-lrml,comparability,8fec1c4a,original,1,1,1,4,0
e2-opus5-lrml,comparability,9a574829,original,4,4,4,4,0
e2-opus5-lrml,comparability,9dd2a0f1,original,6,6,6,6,0
e2-opus5-lrml,comparability,9ff8b8fd,original,5,5,5,5,0
e2-opus5-lrml,comparability,a1f91cfd,original,1,1,1,5,0
e2-opus5-lrml,comparability,a4dc06ab,original,4,5,0,6,0
e2-opus5-lrml,comparability,a4fccc69,original,1,1,1,4,0
e2-opus5-lrml,comparability,aaca648c,original,4,4,4,4,0
e2-opus5-lrml,comparability,b5edf19f,original,4,4,4,4,0
e2-opus5-lrml,comparability,bb9ec292,original,5,5,5,5,0
e2-opus5-lrml,comparability,bd1438b0,original,3,3,3,5,0
e2-opus5-lrml,comparability,c06bb553,original,4,4,4,4,0
e2-opus5-lrml,comparability,cc72106e,original,2,2,2,6,0
e2-opus5-lrml,comparability,d3c5b819,original,4,4,4,4,0
e2-opus5-lrml,comparability,dae0db09,original,3,4,0,5,0
e2-opus5-lrml,comparability,df09194e,original,4,4,4,4,0
e2-opus5-lrml,comparability,f009a781,original,4,4,4,4,0
e2-opus5-lrml,comparability,f41fb8da,original,4,4,4,4,0
e2-opus5-lrml,comparability,f51da5c6,original,4,4,4,4,0
e2-opus5-lrml,comparability,f7cfdf57,original,1,1,1,5,0
e2-opus5-lrml,comparability,0085ecdd,perturbed,1,1,4,6,0
e2-opus5-lrml,comparability,0219127c,perturbed,6,6,6,6,0
e2-opus5-lrml,comparability,02f5e3fb,perturbed,1,1,4,4,0
e2-opus5-lrml,comparability,08efb7a8,perturbed,4,4,4,4,0
e2-opus5-lrml,comparability,09b2a395,perturbed,2,2,2,7,0
e2-opus5-lrml,comparability,0aaf71f0,perturbed,5,5,5,5,0
e2-opus5-lrml,comparability,0edb92b7,perturbed,1,1,4,5,0
e2-opus5-lrml,comparability,12e545d1,perturbed,1,1,1,5,0
e2-opus5-lrml,comparability,14d1a086,perturbed,1,1,4,4,0
